year,通学地コード,通学地,常住地／全国総数（人）,常住地／東京都総数（人）,常住地／区部（人）,常住地／千代田区（人）,常住地／中央区（人）,常住地／港区（人）,常住地／新宿区（人）,常住地／文京区（人）,常住地／台東区（人）,常住地／墨田区（人）,常住地／江東区（人）,常住地／品川区（人）,常住地／目黒区（人）,常住地／大田区（人）,常住地／世田谷区（人）,常住地／渋谷区（人）,常住地／中野区（人）,常住地／杉並区（人）,常住地／豊島区（人）,常住地／北区（人）,常住地／荒川区（人）,常住地／板橋区（人）,常住地／練馬区（人）,常住地／足立区（人）,常住地／葛飾区（人）,常住地／江戸川区（人）,常住地が他道府県／総数（人）,常住地が他道府県／関東地方／総数（人）,常住地が他道府県／関東地方／茨城県（人）,常住地が他道府県／関東地方／栃木県（人）,常住地が他道府県／関東地方／群馬県（人）,常住地が他道府県／関東地方／埼玉県（人）,常住地が他道府県／関東地方／千葉県（人）,常住地が他道府県／関東地方／神奈川県（人）,常住地が他道府県／他の道府県（人）
2020,13362,利島村,35.0,34.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,
2020,13363,新島村,215.0,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,13364,神津島村,217.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,
2020,13381,三宅村,127.0,125.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,1.0,1.0,
2020,13382,御蔵島村,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,13401,八丈町,567.0,565.0,4.0,,,,1.0,,,,,,,2.0,,,,1.0,,,,,,,,,2.0,2.0,,,,,,2.0,
2020,13402,青ヶ島村,12.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,
2020,13421,小笠原村,279.0,279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,8000,茨城県,,950.0,816.0,12.0,8.0,12.0,8.0,25.0,31.0,32.0,42.0,17.0,10.0,22.0,55.0,13.0,17.0,18.0,14.0,22.0,53.0,21.0,32.0,177.0,118.0,57.0,,,,,,,,,
2020,9000,栃木県,,169.0,120.0,3.0,,3.0,8.0,4.0,3.0,4.0,9.0,5.0,1.0,12.0,11.0,3.0,3.0,3.0,7.0,3.0,,9.0,10.0,6.0,6.0,7.0,,,,,,,,,
2020,10000,群馬県,,183.0,138.0,,3.0,1.0,4.0,6.0,5.0,9.0,9.0,4.0,4.0,2.0,13.0,1.0,2.0,6.0,4.0,10.0,3.0,6.0,10.0,20.0,9.0,7.0,,,,,,,,,
2020,11000,埼玉県,,14059.0,9090.0,47.0,117.0,95.0,204.0,289.0,168.0,193.0,332.0,196.0,126.0,297.0,428.0,93.0,263.0,376.0,376.0,646.0,286.0,1037.0,1544.0,1193.0,423.0,361.0,,,,,,,,,
2020,12000,千葉県,,11775.0,10878.0,73.0,220.0,111.0,157.0,222.0,192.0,529.0,1127.0,233.0,95.0,382.0,338.0,78.0,91.0,204.0,145.0,211.0,345.0,279.0,326.0,1067.0,1678.0,2775.0,,,,,,,,,
2020,14000,神奈川県,,26554.0,16839.0,112.0,218.0,627.0,357.0,346.0,157.0,170.0,508.0,1240.0,1059.0,3143.0,4222.0,507.0,312.0,807.0,328.0,241.0,173.0,434.0,723.0,349.0,281.0,525.0,,,,,,,,,
