_id,産業階層,産業分類並び順,産業,地域階層,地域コード,地域,昼間就業者（人）,常住就業者（人）,常住就業者／うち自宅就業者（人）,常住就業者／うち地域内通勤者（人）,流入超過通勤者（人）,流入通勤者（人）,流入通勤者／うち都外から流入（人）,流出通勤者（人）,流出通勤者／うち都外へ流出（人）
219,2,19,生活関連サービス業，娯楽業,2,13107,墨田区,5438,4203,628,1296,1235,3382,1616,2147,226
220,2,20,教育，学習支援業,2,13107,墨田区,4444,4268,288,845,176,3238,1315,3062,452
221,2,21,医療，福祉,2,13107,墨田区,13320,11332,366,4624,1988,8131,2649,6143,631
222,2,22,複合サービス事業,2,13107,墨田区,495,363,3,139,132,344,137,212,16
223,2,23,サービス業（他に分類されないもの）,2,13107,墨田区,10814,10591,870,2416,223,7126,3253,6903,409
224,2,24,公務（他に分類されるものを除く）,2,13107,墨田区,3087,2773,16,603,314,2448,1269,2134,267
225,1,25,分類不能の産業,2,13107,墨田区,4523,4444,627,621,79,1061,494,982,88
226,0,1,総数,2,13108,江東区,351248,235716,23592,64836,115532,251255,128555,135723,13031
227,1,2,第１次産業,2,13108,江東区,340,203,17,70,137,250,127,113,39
228,2,3,農業，林業,2,13108,江東区,282,185,17,62,97,200,104,103,36
229,3,4,うち農業,2,13108,江東区,267,157,17,56,110,191,97,81,30
230,2,5,漁業,2,13108,江東区,58,18,-,8,40,50,23,10,3
231,1,6,第２次産業,2,13108,江東区,56174,34134,3648,8979,22040,42595,23733,20555,3051
232,2,7,鉱業，採石業，砂利採取業,2,13108,江東区,17,57,10,-,-40,7,6,47,2
233,2,8,建設業,2,13108,江東区,23060,11622,1158,3279,11438,18064,10413,6626,1036
234,2,9,製造業,2,13108,江東区,33097,22455,2480,5700,10642,24524,13314,13882,2013
235,1,10,第３次産業,2,13108,江東区,282755,190886,18807,54318,91869,205190,103151,113321,9788
236,2,11,電気・ガス・熱供給・水道業,2,13108,江東区,2241,1157,42,178,1084,2008,1122,924,102
237,2,12,情報通信業,2,13108,江東区,57615,28274,5465,4521,29341,47333,25493,17992,985
238,2,13,運輸業，郵便業,2,13108,江東区,36929,14898,652,6638,22031,29141,14947,7110,1161
239,2,14,卸売業，小売業,2,13108,江東区,51334,35479,2691,11590,15855,36172,17826,20317,1758
240,2,15,金融業，保険業,2,13108,江東区,14693,12560,657,1688,2133,12214,6315,10081,528
241,2,16,不動産業，物品賃貸業,2,13108,江東区,8818,8657,1544,1741,161,5207,2759,5046,419
242,2,17,学術研究，専門・技術サービス業,2,13108,江東区,17333,16336,3612,1982,997,11534,6440,10537,674
243,2,18,宿泊業，飲食サービス業,2,13108,江東区,12405,13284,751,5060,-879,6080,2682,6959,484
244,2,19,生活関連サービス業，娯楽業,2,13108,江東区,7851,6808,948,1887,1043,4790,2273,3747,643
245,2,20,教育，学習支援業,2,13108,江東区,9551,8554,626,2487,997,6285,2375,5288,792
246,2,21,医療，福祉,2,13108,江東区,22541,18170,494,8410,4371,13312,4941,8941,1020
247,2,22,複合サービス事業,2,13108,江東区,622,559,4,148,63,457,223,394,29
248,2,23,サービス業（他に分類されないもの）,2,13108,江東区,34182,20401,1287,6861,13781,25220,12944,11439,767
249,2,24,公務（他に分類されるものを除く）,2,13108,江東区,6640,5749,34,1127,891,5437,2811,4546,426
250,1,25,分類不能の産業,2,13108,江東区,11979,10493,1120,1469,1486,3220,1544,1734,153
251,0,1,総数,2,13109,品川区,352764,197843,23340,50643,154921,270540,143742,115619,14559
252,1,2,第１次産業,2,13109,品川区,276,186,30,66,90,175,102,85,22
253,2,3,農業，林業,2,13109,品川区,264,176,29,65,88,168,99,80,20
254,3,4,うち農業,2,13109,品川区,252,168,27,63,84,160,95,76,20
255,2,5,漁業,2,13109,品川区,12,10,1,1,2,7,3,5,2
256,1,6,第２次産業,2,13109,品川区,62025,27296,2866,7003,34729,51590,30264,16861,3380
257,2,7,鉱業，採石業，砂利採取業,2,13109,品川区,14,30,2,2,-16,10,6,26,-
258,2,8,建設業,2,13109,品川区,17312,8294,985,2288,9018,13725,8134,4707,858
259,2,9,製造業,2,13109,品川区,44699,18972,1879,4713,25727,37855,22124,12128,2522
260,1,10,第３次産業,2,13109,品川区,280574,162606,19455,42502,117968,215217,111563,97249,11013
261,2,11,電気・ガス・熱供給・水道業,2,13109,品川区,917,645,39,52,272,821,473,549,81
262,2,12,情報通信業,2,13109,品川区,76300,28369,6118,5068,47931,64899,36681,16968,1425
263,2,13,運輸業，郵便業,2,13109,品川区,19848,10547,486,2740,9301,16310,8868,7009,871
264,2,14,卸売業，小売業,2,13109,品川区,52019,27679,2417,8479,24340,40527,21438,16187,1845
265,2,15,金融業，保険業,2,13109,品川区,12134,8712,468,1057,3422,10484,5126,7062,510
266,2,16,不動産業，物品賃貸業,2,13109,品川区,10491,8234,2070,1673,2257,6414,3174,4157,376
267,2,17,学術研究，専門・技術サービス業,2,13109,品川区,21158,15842,3838,2352,5316,14782,7681,9466,1060
268,2,18,宿泊業，飲食サービス業,2,13109,品川区,14199,10749,577,4576,3450,8649,3949,5199,433
269,2,19,生活関連サービス業，娯楽業,2,13109,品川区,11184,6910,934,2245,4274,7783,3762,3509,534
270,2,20,教育，学習支援業,2,13109,品川区,9294,7684,676,1860,1610,6643,2856,5033,975
271,2,21,医療，福祉,2,13109,品川区,20353,16991,550,6912,3362,12580,4706,9218,1573
272,2,22,複合サービス事業,2,13109,品川区,623,618,3,198,5,401,130,396,31
273,2,23,サービス業（他に分類されないもの）,2,13109,品川区,27830,15086,1250,4336,12744,21711,11235,8967,776
274,2,24,公務（他に分類されるものを除く）,2,13109,品川区,4224,4540,29,954,-316,3213,1484,3529,523
